"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"ht11";"ht13";"ht19";"pobre";"VivAdec";"desocupado";"Auto";"Internet"
"2019_1_2019046809";30;"Nuevo Paris";14;"A";2;53;1;40271;12000;"2";0;1;0;0;1
"2019_1_2019046817";18;"Punta Gorda";7;"E";1;64;1;553888,666666667;50000;"4";0;1;0;1;1
"2019_1_2019046818";30;"Mercado Modelo, Bolivar";3;"C";1;75;1;61378;18000;"2";0;1;0;1;1
"2019_1_2019046819";49;"Cordon";2;"B";2;23;1;71455;20000;"2";0;1;0;1;1
"2019_1_2019046824";33;"Villa Espa¦ola";11;"D";1;53;1;47323;0;"2";0;1;0;0;1
"2019_1_2019046826";30;"Flor de Maro¦as";9;"F";2;68;1;58889;0;"2";0;2;0;0;0
"2019_1_2019046828";42;"Mercado Modelo, Bolivar";3;"C";1;44;1;138720;15000;"4";0;1;0;1;1
"2019_1_2019046829";23;"Union";6;"E";2;81;1;81070;18000;"1";0;1;0;0;0
"2019_1_2019046832";26;"Manga, Toledo Chico";10;"D";1;58;1;38271;16000;"1";0;1;0;1;1
"2019_1_2019046835";44;"Buceo";4;"CH";1;29;1;65386;0;"2";0;1;0;0;1
"2019_1_2019046839";33;"Pocitos";5;"CH";2;35;1;105594,5;0;"3";0;1;0;1;1
"2019_1_2019046840";14;"Punta Carretas";5;"CH";2;30;1;79451;0;"1";0;1;0;0;1
"2019_1_2019046843";39;"Paso de las Duranas";13;"G";2;43;1;61700;20000;"4";0;1;1;0;1
"2019_1_2019046844";45;"Pta. Rieles, Bella Italia";9;"F";1;45;1;124864;13000;"4";0;1;0;1;1
"2019_1_2019046845";46;"Manga, Toledo Chico";9;"F";1;39;1;61945;8000;"5";0;1;0;0;0
"2019_1_2019046849";39;"Colon Centro y Noroeste";12;"G";1;42;1;181354;12000;"3";0;1;0;1;1
"2019_1_2019046851";24;"Piedras Blancas";10;"D";2;78;1;36220;10000;"1";0;1;0;0;1
"2019_1_2019046854";16;"Buceo";6;"E";2;33;1;37447;15000;"1";0;2;0;0;0
"2019_1_2019046861";27;"Pque. Batlle, V. Dolores";4;"CH";1;75;1;389090;25000;"2";0;1;0;1;1
"2019_1_2019046865";28;"Villa Mu¦oz, Retiro";3;"C";2;23;1;33109;0;"1";0;1;0;0;1
"2019_1_2019046870";25;"Castro, P. Castellanos";11;"D";1;64;1;17862;0;"1";0;2;0;0;0
"2019_1_2019046878";16;"Aguada";3;"C";2;45;1;61193;14000;"1";0;1;0;1;1
"2019_1_2019046880";31;"Cordon";2;"B";1;58;1;214884,666666667;25000;"3";0;1;0;1;1
"2019_1_2019046882";38;"Villa Garcia, Manga Rur.";9;"F";2;362;1;NA;10000;"---";1;1;0;0;0
"2019_1_2019046889";43;"Casavalle";11;"D";2;27;1;28193,5;2500;"4";1;3;0;0;0
"2019_1_2019046891";14;"Pocitos";5;"CH";2;46;1;52180;0;"1";0;1;0;0;1
"2019_1_2019046893";48;"Buceo";7;"E";2;26;1;62390;0;"3";0;1;0;0;1
"2019_1_2019046898";29;"Casabo, Pajas Blancas";17;"A";1;66;1;228486;15000;"2";0;1;0;1;1
"2019_1_2019046903";31;"Cerro";17;"A";1;79;1;68671;15000;"2";0;1;0;0;0
"2019_1_2019046911";41;"Centro";1;"B";1;33;1;78720;20000;"4";0;1;0;0;1
"2019_1_2019046918";25;"Pocitos";5;"CH";2;29;1;147095,333333333;30000;"1";0;1;0;0;1
"2019_1_2019046922";39;"Buceo";6;"E";2;49;1;61567;11000;"4";0;1;0;0;1
"2019_1_2019046924";32;"Casabo, Pajas Blancas";17;"A";1;69;1;58576;15000;"2";0;1;0;0;1
"2019_1_2019046925";31;"Mercado Modelo, Bolivar";3;"C";1;73;1;50842;0;"2";0;1;0;0;0
"2019_1_2019046929";39;"Cordon";2;"B";1;33;1;118706,666666667;23000;"3";0;1;0;1;1
"2019_1_2019046930";40;"Las Canteras";8;"E";1;67;1;89158;9000;"8";0;3;0;0;1
"2019_1_2019046931";39;"Capurro, Bella Vista";16;"C";2;60;1;160185;15000;"5";0;1;0;1;1
"2019_1_2019046933";45;"Tres Cruces";2;"B";1;49;1;175084;30000;"4";0;1;0;1;1
"2019_1_2019046936";32;"Manga, Toledo Chico";10;"D";1;71;1;41428;15000;"2";0;1;0;0;0
"2019_1_2019046941";27;"Pocitos";5;"CH";1;72;1;84236;0;"2";0;1;0;1;1
"2019_1_2019046947";36;"Ituzaingo";9;"F";2;56;1;69994;15000;"3";0;1;1;1;1
"2019_1_2019046948";29;"Conciliacion";13;"G";2;50;1;94440;15000;"2";0;1;0;0;1
"2019_1_2019046950";31;"La Figurita";3;"C";1;67;1;222357,333333333;25000;"2";0;1;0;1;1
"2019_1_2019046951";34;"Belvedere";14;"A";1;78;1;130683;16000;"4";0;1;0;1;1
"2019_1_2019046953";30;"Cordon";2;"B";1;69;1;84378;20000;"2";0;1;0;0;1
"2019_1_2019046959";41;"Buceo";7;"E";1;40;1;123880;0;"4";0;1;0;1;1
"2019_1_2019046961";41;"Paso de la Arena";18;"A";2;57;1;55052;10000;"7";1;2;0;0;0
"2019_1_2019046971";34;"Nuevo Paris";14;"A";2;39;1;79360;15000;"2";0;2;0;0;0
"2019_1_2019046972";23;"Castro, P. Castellanos";11;"D";2;78;1;66663;13000;"1";0;1;0;0;0
"2019_1_2019046974";16;"Belvedere";14;"A";2;49;1;37688;12000;"1";0;1;0;0;0
"2019_1_2019046976";28;"Cordon";2;"B";2;39;1;64524;0;"2";0;1;0;1;1
"2019_1_2019046977";45;"Pta. Rieles, Bella Italia";9;"F";1;22;1;24000;6000;"2";1;3;0;0;0
"2019_1_2019046978";27;"Carrasco";8;"E";1;67;1;417500;60000;"6";0;1;0;0;1
"2019_1_2019046979";33;"Belvedere";14;"A";1;59;1;46118;9000;"2";0;2;0;0;1
"2019_1_2019046981";24;"Prado, Nueva Savona";14;"A";1;53;1;35193;0;"1";0;1;0;0;1
"2019_1_2019046983";18;"Pocitos";5;"CH";2;60;1;149189;19000;"1";0;1;0;1;1
"2019_1_2019046984";42;"Las Canteras";9;"F";1;43;1;88084;0;"4";0;1;0;1;1
"2019_1_2019046988";47;"Conciliacion";13;"G";2;39;1;111116;15000;"5";0;1;0;0;1
"2019_1_2019046989";45;"Nuevo Paris";14;"A";2;23;1;31376;0;"2";0;1;0;1;0
"2019_1_2019046991";32;"Casabo, Pajas Blancas";17;"A";2;70;1;44776;8000;"2";0;1;0;0;1
"2019_1_2019046993";21;"Cerro";17;"A";1;77;1;42271;18000;"1";0;1;0;0;0
"2019_1_2019046996";25;"Cordon";2;"B";1;62;1;197762;30000;"1";0;1;0;1;1
"2019_1_2019047000";31;"Malvin";6;"E";1;83;1;55394;18000;"2";0;1;0;0;1
"2019_1_2019047001";38;"Pta. Rieles, Bella Italia";9;"F";2;55;1;85189;10000;"3";0;1;0;0;1
"2019_1_2019047003";42;"La Comercial";3;"C";1;48;1;109868,666666667;12000;"3";0;1;0;1;1
"2019_1_2019047004";39;"Pocitos";5;"CH";1;39;1;174591;0;"3";0;1;0;1;1
"2019_1_2019047006";28;"Carrasco";8;"E";2;34;1;65000;35000;"4";0;1;0;1;1
"2019_1_2019047012";37;"Paso de las Duranas";13;"G";1;65;1;66026;18000;"3";0;1;0;0;1
"2019_1_2019047019";41;"Pocitos";5;"CH";2;23;1;62699;0;"3";0;1;0;0;1
"2019_1_2019047022";20;"Maro¦as, Parque Guarani";9;"F";1;68;1;43193;20000;"1";0;1;0;1;0
"2019_1_2019047024";21;"Punta Gorda";7;"E";1;85;1;215185,666666667;35000;"2";0;1;0;1;1
"2019_1_2019047027";38;"Sayago";13;"G";2;61;1;86177;0;"2";0;1;0;0;1
"2019_1_2019047031";39;"Pe¦arol, Lavalleja";13;"G";1;34;1;99084;15000;"4";0;3;0;1;1
"2019_1_2019047032";16;"Pocitos";5;"CH";2;58;1;167053,333333333;15000;"1";0;1;0;1;1
"2019_1_2019047033";33;"Conciliacion";13;"G";1;64;1;50576;14000;"2";0;1;0;0;1
"2019_1_2019047035";44;"Cordon";2;"B";1;58;1;314304;30000;"4";0;1;0;1;1
"2019_1_2019047040";32;"Malvin";7;"E";2;44;1;307355;38000;"5";0;1;0;1;1
"2019_1_2019047043";31;"Barrio Sur";1;"B";1;77;1;142409,333333333;28000;"2";0;1;0;1;1
"2019_1_2019047045";40;"Maro¦as, Parque Guarani";9;"F";1;23;1;26928;0;"3";1;1;0;0;1
"2019_1_2019047046";37;"Ituzaingo";9;"F";2;46;1;28800;12000;"4";1;1;0;0;1
"2019_1_2019047050";38;"Atahualpa";15;"C";1;46;1;156756;30000;"4";0;1;0;1;1
"2019_1_2019047052";44;"Cerro";17;"A";1;74;1;170166;12000;"8";0;1;0;0;1
"2019_1_2019047055";22;"Ciudad Vieja";1;"B";2;77;1;70271;25000;"1";0;1;0;0;1
"2019_1_2019047057";33;"Belvedere";14;"A";1;67;1;28378;0;"3";1;2;0;0;1
"2019_1_2019047058";23;"Villa Mu¦oz, Retiro";2;"B";2;90;1;62262;0;"1";0;1;0;0;0
"2019_1_2019047061";39;"Flor de Maro¦as";9;"F";2;28;1;27442;0;"3";1;1;0;0;0
"2019_1_2019047065";24;"Las Acacias";11;"D";2;75;1;43201;15000;"1";0;1;0;0;1
"2019_1_2019047068";38;"Union";6;"E";1;36;1;88474;15000;"3";0;2;0;1;1
"2019_1_2019047079";41;"Paso de las Duranas";13;"G";1;70;1;70378;20000;"2";0;1;0;0;1
"2019_1_2019047087";45;"Larra¦aga";3;"C";1;62;1;73916,6666666667;16000;"4";0;2;0;0;1
"2019_1_2019047092";16;"Punta Carretas";5;"CH";2;58;1;92214;20000;"1";0;1;0;1;1
"2019_1_2019047094";36;"Cerrito";11;"D";1;44;1;108524;16000;"2";0;1;0;1;1
"2019_1_2019047098";41;"Lezica, Melilla";12;"G";2;64;1;89158;15000;"6";0;1;0;0;1
"2019_1_2019047099";23;"Capurro, Bella Vista";16;"C";2;58;1;82360;15000;"2";0;1;0;1;1
"2019_1_2019047102";23;"Palermo";2;"B";2;86;1;42288;0;"1";0;1;0;0;0
"2019_1_2019047104";42;"Belvedere";14;"A";1;45;1;91864;12000;"3";0;2;0;1;1
"2019_1_2019047106";47;"Cerro";17;"A";1;31;1;68542;11000;"2";0;1;0;1;1
"2019_1_2019047109";45;"Union";11;"D";1;45;1;109864,666666667;0;"6";0;2;0;0;0
