"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"desocupado";"ocupados";"subempleo";"pobpcoac";"TotEduc"
"2019_1_2019029851";43;"Casavalle";10;"D";2;41;7;0;1;0;2;"6"
"2019_1_2019029851";43;"Casavalle";10;"D";2;24;1;0;1;0;2;"15"
"2019_1_2019029851";43;"Casavalle";10;"D";2;11;9;0;0;0;1;"5"
"2019_1_2019029855";39;"Larra¦aga";3;"C";2;59;1;0;1;0;2;"14"
"2019_1_2019029855";39;"Larra¦aga";3;"C";2;26;4;0;1;0;2;"16"
"2019_1_2019029855";39;"Larra¦aga";3;"C";2;21;4;1;0;0;4;"11"
"2019_1_2019029856";30;"Brazo Oriental";3;"C";2;74;1;0;0;0;10;"10"
"2019_1_2019029856";30;"Brazo Oriental";3;"C";1;82;2;NA;NA;NA;NA;"---"
"2019_1_2019029857";39;"Jardines del Hipodromo";9;"F";1;65;1;0;0;0;10;"6"
"2019_1_2019029857";39;"Jardines del Hipodromo";9;"F";2;67;2;0;0;0;10;"6"
"2019_1_2019029857";39;"Jardines del Hipodromo";9;"F";1;26;3;0;1;0;2;"14"
"2019_1_2019029858";41;"Ciudad Vieja";1;"B";1;42;1;0;1;1;2;"17"
"2019_1_2019029861";16;"Punta Carretas";5;"CH";2;56;1;0;1;0;2;"17"
"2019_1_2019029862";23;"Manga";10;"D";2;78;1;0;0;0;10;"6"
"2019_1_2019029863";44;"Pe¦arol, Lavalleja";13;"G";2;1;11;0;0;0;1;"0"
"2019_1_2019029863";44;"Pe¦arol, Lavalleja";13;"G";2;12;4;0;0;0;1;"6"
"2019_1_2019029863";44;"Pe¦arol, Lavalleja";13;"G";1;20;4;0;1;0;2;"9"
"2019_1_2019029863";44;"Pe¦arol, Lavalleja";13;"G";2;39;1;0;1;0;2;"8"
"2019_1_2019029863";44;"Pe¦arol, Lavalleja";13;"G";2;21;4;0;0;0;6;"9"
"2019_1_2019029863";44;"Pe¦arol, Lavalleja";13;"G";1;23;6;0;1;0;2;"9"
"2019_1_2019029865";23;"Larra¦aga";3;"C";2;67;1;0;1;0;2;"9"
"2019_1_2019029867";42;"Maro¦as, Parque Guarani";9;"F";2;1;3;0;0;0;1;"0"
"2019_1_2019029867";42;"Maro¦as, Parque Guarani";9;"F";2;10;3;0;0;0;1;"3"
"2019_1_2019029867";42;"Maro¦as, Parque Guarani";9;"F";2;30;2;0;1;1;2;"11"
"2019_1_2019029867";42;"Maro¦as, Parque Guarani";9;"F";1;6;3;0;0;0;1;"0"
"2019_1_2019029867";42;"Maro¦as, Parque Guarani";9;"F";1;34;1;0;1;0;2;"10"
"2019_1_2019029867";42;"Maro¦as, Parque Guarani";9;"F";2;8;3;0;0;0;1;"1"
"2019_1_2019029867";42;"Maro¦as, Parque Guarani";9;"F";1;3;3;0;0;0;1;"0"
"2019_1_2019029868";22;"La Teja";14;"A";2;85;1;0;0;0;10;"2"
"2019_1_2019029870";44;"Piedras Blancas";9;"F";1;33;1;0;1;0;2;"13"
"2019_1_2019029870";44;"Piedras Blancas";9;"F";1;56;7;0;0;0;10;"7"
"2019_1_2019029877";27;"La Blanqueada";4;"CH";2;73;1;0;0;0;9;"15"
"2019_1_2019029877";27;"La Blanqueada";4;"CH";2;31;4;0;0;0;9;"2"
"2019_1_2019029881";16;"Centro";2;"B";2;38;1;0;1;0;2;"17"
"2019_1_2019029884";16;"Pocitos";5;"CH";2;64;1;0;0;0;10;"19"
"2019_1_2019029885";41;"Barrio Sur";1;"B";1;33;1;0;1;0;2;"13"
"2019_1_2019029886";31;"Carrasco";8;"E";2;47;2;0;1;0;2;"17"
"2019_1_2019029886";31;"Carrasco";8;"E";1;13;3;0;0;0;1;"6"
"2019_1_2019029886";31;"Carrasco";8;"E";1;47;1;0;1;0;2;"17"
"2019_1_2019029886";31;"Carrasco";8;"E";1;16;3;0;0;0;7;"9"
"2019_1_2019029886";31;"Carrasco";8;"E";2;10;3;0;0;0;1;"3"
"2019_1_2019029890";32;"Cerrito";11;"D";2;77;2;NA;NA;NA;NA;"---"
"2019_1_2019029890";32;"Cerrito";11;"D";1;80;1;0;0;0;10;"4"
"2019_1_2019029905";26;"Pocitos";5;"CH";1;55;2;0;1;0;2;"15"
"2019_1_2019029905";26;"Pocitos";5;"CH";2;56;1;0;1;0;2;"19"
"2019_1_2019029906";36;"Capurro, Bella Vista";16;"C";2;63;2;0;1;0;2;"18"
"2019_1_2019029906";36;"Capurro, Bella Vista";16;"C";1;63;1;0;0;0;10;"17"
